State_Name,Avg_Home_Insurance_2022,Crime_Rate,pm25_state_mean,hurricane_count_5yr,severe_storm_count_5yr,flood_count_5yr,fire_count_5yr,coastal_storm_count_5yr,tropical_storm_count_5yr,tornado_count_5yr,climate_event_count_5yr,median_home_value,median_income,Population,price_to_income_ratio
Maryland,1399.83,415.6,6.43654850955414,3,2,2,0,0,0,0,7,333004.1666666667,90905.625,6161707,3.6362542019164352
Massachusetts,1677.51,327.2,6.364335817955113,1,6,0,0,0,0,0,7,543707.1428571428,93467.42857142857,6984205,5.611509873230261
Michigan,1070.67,468.4,8.671873261702128,0,5,3,0,0,0,0,8,168481.92771084336,61703.5421686747,10057921,2.683502466777317
Minnesota,1628.41,284.0,5.656625272340426,0,46,106,0,0,0,0,152,207495.40229885056,72833.908045977,5695292,2.814839092488046
Mississippi,1546.6,249.6,8.547099702380953,263,137,0,0,0,0,0,400,120971.9512195122,46327.84146341463,2958846,2.6094907151499878
Missouri,1453.34,502.6,8.131870291828793,0,134,20,0,0,0,0,154,151082.60869565216,56655.66086956522,6154422,2.661143558915928
Montana,1564.53,429.1,7.429622740566038,0,0,31,17,0,0,0,48,229792.85714285716,60086.94642857143,1091840,3.790598397437717
Nebraska,1610.37,,5.501756263636364,0,70,91,3,0,0,0,164,141087.09677419355,63774.56989247312,1958939,2.186987340813112
Nevada,1086.4,485.3,6.265884597014925,0,0,0,13,0,0,0,13,266258.82352941175,70919.35294117648,3104817,3.7211443995265774
New Hampshire,1158.79,127.1,4.819688937931035,0,8,2,0,1,0,0,11,287100.0,81765.8,1379610,3.469578688024922
New Jersey,1452.49,227.2,7.20425451953125,53,6,0,0,0,0,0,59,378657.1428571429,96885.23809523808,9249063,3.919946544072405
New Mexico,1265.18,790.3,6.808042317307692,0,0,0,17,0,0,0,17,169015.15151515152,52603.878787878784,2112463,3.214019925565656
New York,1436.72,,6.239401477707006,70,18,7,0,0,0,0,95,253185.48387096773,73474.62903225806,19994379,3.2743293879184834
North Carolina,1287.99,409.5,7.052869577656676,532,40,0,0,0,0,0,572,194595.0,58261.46,10470214,3.2642795880319624
North Dakota,1370.58,311.5,5.843629714285714,0,55,57,0,0,0,0,112,162139.62264150943,70749.16981132075,776874,2.2750025456056417
Ohio,1077.68,313.1,8.17681967207416,0,0,43,0,0,0,12,55,169107.95454545456,65302.10227272727,11774683,2.5691139286549207
Oklahoma,1769.5,424.5,8.293725635782748,0,79,10,12,0,0,0,101,132219.4805194805,56459.93506493507,3970497,2.3379637425719286
Oregon,1116.98,349.9,10.314591040160645,0,12,10,67,0,0,0,89,323097.22222222225,66581.0,4229374,4.76886635490749
Pennsylvania,1040.46,336.1,7.989945651675485,13,11,0,0,0,0,0,24,187894.02985074627,67019.4776119403,12989208,2.7415539005456284
Rhode Island,1700.54,173.0,5.623140153846154,6,0,0,0,0,0,0,6,399980.0,92003.0,1094250,4.329823472685801
South Carolina,1423.27,508.2,7.503699591973244,217,20,0,0,0,0,0,237,165219.5652173913,54681.67391304348,5142750,2.897321241279512
South Dakota,1431.51,384.0,4.928401134020619,0,62,89,3,0,0,0,154,152566.66666666666,63824.77272727273,890342,2.377998014275163
Tennessee,1322.2,625.2,7.717338745398773,0,46,63,0,0,0,53,162,182358.94736842104,56437.26315789474,6923772,3.169068483449116
Texas,1973.46,438.0,8.77674231420765,99,0,49,16,0,0,0,164,158011.95219123506,62117.7250996016,29242914,2.4895862183238924
Utah,1069.57,246.9,7.120691304477612,0,4,0,13,0,0,0,17,337237.9310344828,75462.8275862069,3283809,4.415974285496959
Vermont,1137.35,222.9,5.34022711,14,23,8,0,0,0,0,45,254557.14285714287,71835.0,643816,3.505087899695191
Virginia,1304.07,240.6,6.887551687861272,202,30,1,0,0,0,0,233,261678.1954887218,71966.86466165414,8624511,3.485670241355229
Washington,1347.44,384.2,8.317541022624434,0,26,52,51,0,0,0,129,361766.6666666667,72437.84615384616,7688549,4.9381801306860185
West Virginia,895.3,293.6,7.756532543624162,0,8,13,0,0,0,0,21,133592.72727272726,52442.6,1792967,2.522402245275054
Wisconsin,1078.29,305.0,6.733966322195704,0,0,43,0,0,0,0,43,202123.61111111112,68805.58333333333,5882128,2.916006193716046
Wyoming,1437.25,,3.816861603351955,0,0,0,5,0,0,0,5,291908.6956521739,71282.91304347826,577929,3.974683102707884
